scenario,node,onshorewind_profile,offshorewind_profile,solar_profile
hw,1,0.738741,0.738741,0.149667
hw,2,0.639124,0.639124,0.15197
hw,3,0.564552,0.564552,0.158667
hw,4,0.608548,0.608548,0.159083
hw,5,0.464279,0.464279,0.162879
hw,6,0.547431,0.547431,0.15884
hs,1,0.217001,0.217001,0.50122
hs,2,0.160694,0.160694,0.525362
hs,3,0.130372,0.130372,0.556832
hs,4,0.159397,0.159397,0.532722
hs,5,0.114555,0.114555,0.535578
hs,6,0.135876,0.135876,0.544454
lwls,1,0.027497,0.027497,0
lwls,2,0.020227,0.020227,0
lwls,3,0.033019,0.033019,0
lwls,4,0.047566,0.047566,0
lwls,5,0.064958,0.064958,0
lwls,6,0.064493,0.064493,0
